time,Im,Wm,Fault_type
0,0,0,"Im"
0.1,1.69133997752227,0.0229653164740329,"Im"
0.2,3.17720039156821,0.319200243431058,"Im"
0.3,4.55328965635166,0.863032326319773,"Im"
0.4,5.65173803527955,1.58692036964563,"Im"
0.5,7.04665762082385,2.63669598422934,"Im"
0.6,7.79394534880801,3.66075354726912,"Im"
0.7,8.96093820763556,5.08354363269583,"Im"
0.8,9.47073389395323,6.31668056268073,"Im"
0.9,10.2825222405796,7.90374812755313,"Im"
1,10.4042146129645,9.07589786095869,"Im"
1.1,11.0937794774529,10.8489883366178,"Im"
1.2,12.0175306635117,13.0441337509029,"Im"
1.3,11.9862979648898,14.3206212336789,"Im"
1.4,12.6498137027094,16.5187529070954,"Im"
1.5,12.7298656382645,18.0594304946914,"Im"
1.6,13.0608305261137,20.0240359474551,"Im"
1.7,12.9722048312841,21.3936858857472,"Im"
1.8,13.1890464182353,23.3020206916806,"Im"
1.9,13.9723164439084,26.3489143637881,"Im"
2,13.8314470523705,27.7485260832522,"Im"
2.1,13.736801180685,29.230334370298,"Im"
2.2,13.8379751156574,31.1464886336106,"Im"
2.3,14.369170763578,34.1246317115913,"Im"
2.4,14.16408751891,35.4096624694634,"Im"
2.5,14.3639149841628,37.7203068528512,"Im"
2.6,14.3540592322819,39.5170668878477,"Im"
2.7,14.4666757650371,41.6757249312405,"Im"
2.8,14.3636566476127,43.2247819574301,"Im"
2.9,13.8555782818226,43.4851867672808,"Im"
3,14.3229991716908,46.8098123318768,"Im"
3.1,14.5063301327613,49.2971586605916,"Im"
3.2,14.3568531133625,50.663406863025,"Im"
3.3,13.4371131391596,49.175919392675,"Im"
3.4,13.9827656381112,53.0053898356155,"Im"
3.5,13.9163475649739,54.5792834726451,"Im"
3.6,14.0384869971985,56.900706801459,"Im"
3.7,13.7472073965301,57.5238549733001,"Im"
3.8,13.8250778921165,59.6621754133466,"Im"
3.9,14.2016623397279,63.1465427364744,"Im"
4,13.9235081741161,63.7289238522852,"Im"
4.1,13.6945682924195,64.4657329711084,"Im"
4.2,13.3000334740141,64.336376920565,"Im"
4.3,13.4590311327228,66.8476387297544,"Im"
4.4,13.4446489421847,68.5091994873135,"Im"
4.5,13.1829096316654,68.8667246825917,"Im"
4.6,13.1683225576674,70.4710940339493,"Im"
4.7,13.2931437841064,72.8258866969998,"Im"
4.8,13.518252178752,75.7638597004709,"Im"
4.9,12.3988921154781,71.0434619095967,"Im"
5,12.6782178123614,74.2207104561802,"Im"
5.1,13.1796133353461,78.7826323294705,"Im"
5.2,12.9671708589744,79.1002887734528,"Im"
5.3,12.6774426226519,78.8718514670488,"Im"
5.4,12.7809751066676,81.053635460985,"Im"
5.5,12.3596453058291,79.8547813531198,"Im"
5.6,12.2811696380411,80.7972728628039,"Im"
5.7,12.5486183845849,84.0228958167509,"Im"
